step   t[s]            hdot[m/s]       h[m]            R[m]            Dt[s]   
    0  0.00000000E+00  1.01669092E-01  1.59154943E-03  1.00000000E-02  0.00000000E+00
    1  1.56542112E-03  5.05107711E-02  1.43239449E-03  1.05409255E-02  1.56542112E-03
    2  4.40124099E-03  2.45615299E-02  1.28915504E-03  1.11111111E-02  2.83581988E-03
    3  9.64991664E-03  1.17229802E-02  1.16023954E-03  1.17121395E-02  5.24867564E-03
    4  1.95470547E-02  5.50494842E-03  1.04421558E-03  1.23456790E-02  9.89713803E-03
    5  3.85157262E-02  2.54776482E-03  9.39794023E-04  1.30134883E-02  1.89686715E-02
    6  7.54027267E-02  1.16335078E-03  8.45814621E-04  1.37174211E-02  3.68870005E-02
    7  1.48107764E-01  5.24223868E-04  7.61233159E-04  1.44594315E-02  7.27050372E-02
    8  2.93319229E-01  2.32964749E-04  6.85109843E-04  1.52415790E-02  1.45211465E-01
    9  4.93319229E-01  1.34311955E-04  6.38516893E-04  1.57878819E-02  2.00000000E-01
   10  6.93319229E-01  9.56131577E-05  6.11654502E-04  1.61308398E-02  2.00000000E-01
   11  8.93319229E-01  7.42278347E-05  5.92531871E-04  1.63890662E-02  2.00000000E-01
   12  1.09331923E+00  6.05562627E-05  5.77686304E-04  1.65983161E-02  2.00000000E-01
   13  1.29331923E+00  5.10411865E-05  5.65575051E-04  1.67750933E-02  2.00000000E-01
   14  1.49331923E+00  4.40336457E-05  5.55366814E-04  1.69285634E-02  2.00000000E-01
   15  1.69331923E+00  3.86586218E-05  5.46560085E-04  1.70644034E-02  2.00000000E-01
   16  1.89331923E+00  3.44069032E-05  5.38828360E-04  1.71863971E-02  2.00000000E-01
   17  2.09331923E+00  3.09614265E-05  5.31946980E-04  1.72972034E-02  2.00000000E-01
   18  2.29331923E+00  2.81142446E-05  5.25754695E-04  1.73987676E-02  2.00000000E-01
   19  2.49331923E+00  2.57232256E-05  5.20131846E-04  1.74925588E-02  2.00000000E-01
   20  2.69331923E+00  2.36878946E-05  5.14987201E-04  1.75797157E-02  2.00000000E-01
   21  2.89331923E+00  2.19352055E-05  5.10249622E-04  1.76611395E-02  2.00000000E-01
   22  3.09331923E+00  2.04107783E-05  5.05862580E-04  1.77375564E-02  2.00000000E-01
   23  3.29331923E+00  1.90732961E-05  5.01780425E-04  1.78095608E-02  2.00000000E-01
   24  3.49331923E+00  1.78908079E-05  4.97965766E-04  1.78776455E-02  2.00000000E-01
   25  3.69331923E+00  1.68382201E-05  4.94387604E-04  1.79422242E-02  2.00000000E-01
   26  3.89331923E+00  1.58955524E-05  4.91019960E-04  1.80036471E-02  2.00000000E-01
   27  4.09331923E+00  1.50467014E-05  4.87840850E-04  1.80622140E-02  2.00000000E-01
   28  4.29331923E+00  1.42785452E-05  4.84831509E-04  1.81181832E-02  2.00000000E-01
   29  4.49331923E+00  1.35802856E-05  4.81975800E-04  1.81717791E-02  2.00000000E-01
   30  4.69331923E+00  1.29429567E-05  4.79259743E-04  1.82231979E-02  2.00000000E-01
   31  4.89331923E+00  1.23590534E-05  4.76671152E-04  1.82726119E-02  2.00000000E-01
   32  5.09331923E+00  1.18222458E-05  4.74199341E-04  1.83201739E-02  2.00000000E-01
   33  5.29331923E+00  1.13271593E-05  4.71834892E-04  1.83660194E-02  2.00000000E-01
   34  5.49331923E+00  1.08692010E-05  4.69569460E-04  1.84102694E-02  2.00000000E-01
   35  5.69331923E+00  1.04444232E-05  4.67395620E-04  1.84530325E-02  2.00000000E-01
   36  5.89331923E+00  1.00494143E-05  4.65306735E-04  1.84944064E-02  2.00000000E-01
   37  6.09331923E+00  9.68121138E-06  4.63296852E-04  1.85344794E-02  2.00000000E-01
   38  6.29331923E+00  9.33722874E-06  4.61360610E-04  1.85733315E-02  2.00000000E-01
   39  6.49331923E+00  9.01520013E-06  4.59493164E-04  1.86110355E-02  2.00000000E-01
   40  6.69331923E+00  8.71313112E-06  4.57690124E-04  1.86476580E-02  2.00000000E-01
   41  6.89331923E+00  8.42925961E-06  4.55947498E-04  1.86832596E-02  2.00000000E-01
   42  7.09331923E+00  8.16202321E-06  4.54261646E-04  1.87178960E-02  2.00000000E-01
   43  7.29331923E+00  7.91003177E-06  4.52629242E-04  1.87516186E-02  2.00000000E-01
   44  7.49331923E+00  7.67204444E-06  4.51047235E-04  1.87844746E-02  2.00000000E-01
   45  7.69331923E+00  7.44695023E-06  4.49512826E-04  1.88165077E-02  2.00000000E-01
   46  7.89331923E+00  7.23375152E-06  4.48023436E-04  1.88477581E-02  2.00000000E-01
   47  8.09331923E+00  7.03155008E-06  4.46576686E-04  1.88782635E-02  2.00000000E-01
   48  8.29331923E+00  6.83953499E-06  4.45170376E-04  1.89080585E-02  2.00000000E-01
   49  8.49331923E+00  6.65697239E-06  4.43802469E-04  1.89371757E-02  2.00000000E-01
