Time_1,Time_2,Time_3,Time_4,Radius_1,Radius_2,Radius_3,Radius_4
0,0,0,0,0.013821337,0.013419299,0.013945159,0.014284378
0.333666667,0.333666667,0.333666667,0.333666667,0.020339184,0.020524033,0.020605089,0.022431002
0.5005,0.5005,0.5005,0.5005,0.02087736,0.021085126,0.021131215,0.02295846
0.767433333,0.767433333,0.767433333,0.767433333,0.021431673,0.021734618,0.021687181,0.023568151
1.167833333,1.167833333,1.167833333,1.167833333,0.022038161,0.022443282,0.022289186,0.024249702
1.768433333,1.768433333,1.768433333,1.768433333,0.022726983,0.023211724,0.022973387,0.025001707
2.669333333,2.669333333,2.669333333,2.669333333,0.023496901,0.024080884,0.023743954,0.025832982
4.004,4.004,4.004,4.004,0.024345053,0.025034712,0.02458592,0.026735817
6.006,6.006,6.006,6.006,0.025266103,0.026069243,0.025512554,0.027725646
9.009,9.009,9.009,9.009,0.026257062,0.027178372,0.026512721,0.028786393
13.5135,13.5135,13.5135,13.5135,0.027288839,0.028331727,0.027568573,0.029911736
20.28693333,20.28693333,20.28693333,20.28693333,0.028327426,0.029497231,0.028655376,0.03109096
30.4304,30.4304,30.4304,30.4304,0.029346056,0.030645661,0.029734226,0.032283999
45.6456,45.6456,45.6456,45.6456,0.030347448,0.031743126,0.030807211,0.033468135
68.4684,68.4684,68.4684,68.4684,0.03131726,0.032775343,0.031847855,0.034632311
102.7026,102.7026,102.7026,102.7026,0.032274509,0.033734933,0.032850709,0.035750028
154.0539,154.0539,154.0539,154.0539,0.033039906,0.034665933,0.033808845,0.036803616
