Time_1,Time_2,Time_3,Time_4,Time_5,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5
0,0,0,0,0,0.014338401,0.013468851,0.013161182,0.013828087,0.014238617
0.333666667,0.333666667,0.333666667,0.333666667,0.333666667,0.016373418,0.016173372,0.016369048,0.016159562,0.016381267
0.5005,0.5005,0.5005,0.5005,0.5005,0.016659398,0.016552285,0.016680915,0.016423092,0.016686774
0.767433333,0.767433333,0.767433333,0.767433333,0.767433333,0.016935371,0.016961655,0.017041993,0.016750433,0.01701164
1.167833333,1.167833333,1.167833333,1.167833333,1.167833333,0.017316428,0.017369587,0.017435444,0.017064752,0.01737624
1.768433333,1.768433333,1.768433333,1.768433333,1.768433333,0.017686002,0.017828597,0.017865813,0.017423606,0.017805917
2.669333333,2.669333333,2.669333333,2.669333333,2.669333333,0.018105919,0.018379355,0.018367133,0.017816948,0.018298873
4.004,4.004,4.004,4.004,4.004,0.018586734,0.018990606,0.018935563,0.018261639,0.018848555
6.006,6.006,6.006,6.006,6.006,0.019131475,0.019668617,0.019563051,0.018770319,0.019465916
9.009,9.009,9.009,9.009,9.009,0.019711204,0.020378267,0.02022077,0.019312413,0.020130158
13.5135,13.5135,13.5135,13.5135,13.5135,0.020304188,0.021109856,0.020892894,0.019871143,0.020814862
20.28693333,20.28693333,20.28693333,20.28693333,20.28693333,0.020902493,0.021830993,0.021577083,0.020434926,0.021509397
30.4304,30.4304,30.4304,30.4304,30.4304,0.021477493,0.022531529,0.022240056,0.020989219,0.022197364
45.6456,45.6456,45.6456,45.6456,45.6456,0.02200364,0.023196385,0.022884386,0.021519747,0.022847576
68.4684,68.4684,68.4684,68.4684,68.4684,0.022487991,0.023829374,0.023497292,0.022031,0.023486375
102.7026,102.7026,102.7026,102.7026,102.7026,0.022930422,0.0244527,0.024094538,0.022495551,0.024102186
154.0539,154.0539,154.0539,154.0539,154.0539,0.023346114,0.025059504,0.024667856,0.022982769,0.024703352
