Time_1,Time_2,Time_3,Time_4,Time_5,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5
0,0,0,0,0,0.012920309,0.013079579,0.013367574,0.013023863,0.013749399
0.333666667,0.333666667,0.333666667,0.333666667,0.333666667,0.018607716,0.018375598,0.018320205,0.018410789,0.018627333
0.5005,0.5005,0.5005,0.5005,0.5005,0.019128716,0.018850526,0.018729151,0.019037424,0.019169091
0.767433333,0.767433333,0.767433333,0.767433333,0.767433333,0.019743462,0.019414435,0.019205809,0.019687246,0.019756575
1.167833333,1.167833333,1.167833333,1.167833333,1.167833333,0.020449106,0.02000232,0.019712458,0.020397638,0.020432397
1.768433333,1.768433333,1.768433333,1.768433333,1.768433333,0.02124872,0.020673427,0.020299055,0.021214326,0.021202578
2.669333333,2.669333333,2.669333333,2.669333333,2.669333333,0.022161966,0.021422904,0.020961103,0.022160175,0.022074056
4.004,4.004,4.004,4.004,4.004,0.023160905,0.02225533,0.021671246,0.023197881,0.02302945
6.006,6.006,6.006,6.006,6.006,0.024249934,0.023157227,0.022434074,0.024341738,0.024062329
9.009,9.009,9.009,9.009,9.009,0.025392975,0.02409336,0.023230154,0.025544908,0.025147314
13.5135,13.5135,13.5135,13.5135,13.5135,0.026550139,0.025016799,0.024039382,0.026767769,0.026245794
20.28693333,20.28693333,20.28693333,20.28693333,20.28693333,0.027670088,0.025904961,0.024842746,0.027979062,0.027333323
30.4304,30.4304,30.4304,30.4304,30.4304,0.02869891,0.026712939,0.025612185,0.029135385,0.028393647
45.6456,45.6456,45.6456,45.6456,45.6456,0.029623506,0.027469866,0.026337944,0.03023687,0.02942113
68.4684,68.4684,68.4684,68.4684,68.4684,0.030455866,0.028180617,0.02704161,0.031324622,0.030428046
102.7026,102.7026,102.7026,102.7026,102.7026,0.031212412,0.028872837,0.02771474,0.032402679,0.031413179
154.0539,154.0539,154.0539,154.0539,154.0539,0.031924736,0.029545654,0.028367908,0.033509297,0.032395501
